Connector ID,Connector,Connector Location Views Page Number,Grid Reference,Location in Vehicle
C4113,"Park/stop/turn lamp 2, left rear",35,F3,"Vehicle rear end, LH side"
C4115,"Park/stop/turn lamp 2, right rear",35,A6,"Vehicle rear end, RH side"
C1023,"Park/turn lamp, left front",1,F7,"Front left engine compartment"
C1043,"Park/turn lamp, right front",1,F2,"Front right engine compartment"
C2023,"Parking Aid Module (PAM)",21,A3,"LH kick panel"
C4011,"Parking aid sensor, inner right",34,B7,"Vehicle rear end, RH side"
C4009,"Parking aid sensor, outer left",34,F5,"Vehicle rear end, LH side"
C4011,"Parking aid sensor, outer right",34,B7,"Vehicle rear end, RH side"
C2015,"Parking brake switch",21,A7,"LH kick panel"
C4010,"Parking aid sensor, inner left",34,E7,"Vehicle rear end, LH side"
C231,"Passenger air bag module",15,B7,"Behind right side of dash panel"
C3074,"Passenger seat front height motor",40,F7,"Under passenger seat"
C332,"Passenger seat horizontal motor",40,E7,"Under passenger seat"
C3075,"Passenger seat rear height motor",40,E8,"Under passenger seat"
C3189,"Passenger seat recliner motor",40,D7,"In passenger seat back"
C252,"Passive anti-theft transceiver",23,F4,"On steering column"
C252,"Passive anti-theft transceiver (Column shifter)",24,F5,"On steering column"
C3276,"Power folding mirror relay",30,A1,"Back wall off RH side"
C3063,"Power point, console 1",19,F6,"Center console"
C3063,"Power point, console 1 (floor shifter)",20,F5,"Center console"
C3064,"Power point, console 2",19,F4,"Center console"
C3064,"Power point, console 2 (floor shifter)",20,F2,"Center console"
C2033,"Power point, instrument panel",15,D6,"Behind dash panel"
C3313B,"Power Running Board (PRB) module (Super Crew)",33,A4,"Behind center of rear seats"
C3313A,"Power Running Board (PRB) module (Super Crew)",33,A5,"Behind RH side of rear seats"
C3145,"Power sliding window motor, rear (Super Cab/Super Crew)",33,A7,"Behind center of rear seats"
C3145,"Power sliding window motor, rear (Super Cab)",30,F1,"Rear of cab"
C1463A,"Power Steering Control Module (PSCM)",3,A5,"Lower enging compartment"
C524,"Power window motor, left front",42,F5,"Left front door"
C726,"Power window motor, left rear (Super Cab)",44,D8,"In LH rear door"
C703,"Power window motor, left rear (Super Crew)",45,F6,"In LH rear door"
C828,"Power window motor, right rear (Super Cab)",44,D8,"In RH rear door"
C803,"Power window motor, right rear (Super Crew)",45,F7,"In RH rear door"
C608,"Power window motor, right front",43,E8,"Right front door"
C3276,"Power fold mirror module",33,F6,"Behind RH side of rear seats"
C1381B,"Powertrain Control Module (PCM)",2,A3,"Rear right engine compartment"
C1381E,"Powertrain Control Module (PCM) (5.0L)",10,A2,"engine compartment, RH side, front"
C1551E,"Powertrain Control Module (PCM) (3.5L)",5,A1,"engine compartment, RH side, front"
C175E,"Powertrain Control Module (PCM) (3.7L)",8,A1,"engine compartment, RH side, front"
C914,"Rain sensor module",47,D1,"In roof panel, front center"
C4136,"Rear marker lamp, left (SVT Raptor)",35,F4,"Vehicle rear end, LH side"
C4138,"Rear marker lamp, right (SVT Raptor)",35,C8,"Vehicle rear end, RH side"
C3368,"Rear window defrost grid (Super Cab)",30,B5,"Back wall off RH side"
C3368,"Rear window defrost grid (Super Cab/Super Crew)",33,B1,"Behind RH side of rear seats"
C3368,"Rear window defrost grid (Regular Cab)",29,B7,"RH B-pillar"
C310A,"Restraints Control Module (RCM) (Regular Cab)",26,B8,"Vehicle floor, between front seats"
C310A,"Restraints Control Module (RCM) (Super Cab)",27,A5,"Vehicle floor, between front seats"
C310A,"Restraints Control Module (RCM) (Super Crew)",28,A4,"Vehicle floor, between front seats"
C487,"Reversing lamp, left",35,F2,"Vehicle rear end, LH side"
C488,"Reversing lamp, right",35,B7,"Vehicle rear end, RH side"
C921,"Roof opening panel module",47,A6,"In roof panel, center rear"
C921,"Roof opening panel module",48,A5,"In roof panel, center rear"
C3185,"Running board motor, left (Super Crew)",28,B3,"Under vehicle floor, under driver seat"
C3186,"Running board motor, right (Super Crew)",31,F2,"Under vehicle floor, under passenger seat"
C3066,"Safety belt buckle switch, passenger",39,F5,"Under passenger seat"
C3238,"Safety Belt Tension Sensor (BTS), passenger ( Super Crew)",39,C2,"Under passenger seat"
C3238,"Safety Belt Tension Sensor (BTS), passenger (Regular Cab)",39,C2,"Under passenger seat"
C3065,"Safety belt buckle switch, driver",36,C1,"Under driver seat"
C727,"Safety belt retractor pretensioner, driver (Super Cab)",44,E1,"In LH rear door"
C3201,"Safety belt retractor pretensioner, driver (Regular Cab)",26,E1,"LH lower B-pillar"
C3201,"Safety belt retractor pretensioner, driver (Super Crew)",28,D1,"LH lower B-pillar"
C830,"Safety belt retractor pretensioner, passenger (Super Cab)",44,E1,"In RH rear door"
C3202,"Safety belt retractor pretensioner, passenger (Regular Cab)",29,E7,"RH lower B-pillar"
C3202,"Safety belt retractor pretensioner, passenger (Super Crew)",31,D7,"RH lower B-pillar"
C829,"Safety Belt Tension Sensor (BTS), passenger (Super Cab)",44,D1,"In RH rear door"
C3168,"Seat back heater, left rear",41,A7,"In rear seat back"
C3170,"Seat back heater, right rear",41,A3,"In rear seat back"
C365,"Seat backrest heater mat, driver side (heated seats)",37,B3,"In driver seat back"
C335,"Seat backrest heater mat, passenger side (heated seats)",40,B3,"In passenger seat back"
C3034,"Seat backrest Thermo-Electric Device (TED), driver side (climate controlled seats)",38,B2,"In driver seat back"
C3039,"Seat backrest Thermo-Electric Device (TED), passenger side (climate controlled seats)",40,B7,"In passenger seat back"
C360,"Seat control switch, driver side front (6-way power seat)",37,E7,"Under driver seat"
C369,"Seat control switch, driver side front (10-way power seat)",38,E7,"Under driver seat"
C330,"Seat control switch, passenger side front",40,D2,"Under passenger seat"
C364,"Seat cushion heater mat, left front (heated seats)",37,F5,"Under driver seat"
C334,"Seat cushion heater mat, right front (heated seats)",40,F5,"Under passenger seat"
C3167,"Seat cushion heater, left rear",41,F5,"In rear seat cushion"
C3169,"Seat cushion heater, right rear",41,F3,"In rear seat cushion"
C3035,"Seat cushion Thermo-Electric Device (TED), driver side (climate controlled seats)",38,F3,"Under driver seat"
C3040,"Seat cushion Thermo-Electric Device (TED), passenger side (climate controlled seats)",40,F3,"Under passenger seat"
C3051,"Seat position sensor, driver",36,E7,"Under driver seat"
C367,"Side air bag module, driver",36,C7,"In driver seat back"
C337,"Side air bag module, passenger",39,A2,"In passenger seat back"
C3321,"Side air curtain module, driver (Super Cab/Super Crew)",32,B6,"LH C-pillar"
C3321,"Side air curtain module, driver (Regular Cab)",26,B1,"LH lower B-pillar"
C3321,"Side air curtain module, driver (Super Cab)",27,B4,"LH lower B-pillar"
C3329,"Side air curtain module, passenger (Regular Cab)",29,C7,"RH B-pillar"
C3329,"Side air curtain module, passenger (Super Cab/Super Crew)",33,C1,"RH C-pillar"
C3329,"Side air curtain module, passenger (Super Cab)",30,F4,"RH B-pillar"
C3321,"Side air curtain module, driver",41,E8,"LH lower C-pillar"
C3329,"Side air curtain module, passenger",41,C1,"RH lower C-pillar"
C567,"Side impact sensor, driver front door",42,A1,"Left front door"
